ISO-3166,Country,Continent,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate (per 100)
SLV,El Salvador,North America,12/13/20,13.7942,-88.8965,41631,1200,37667,2764,6418.39498960948,0.01850081426708793
GNQ,Equatorial Guinea,Africa,12/13/20,1.6508,10.2679,5185,85,5058,42,3695.691685941047,0.006058510960559094
ERI,Eritrea,Africa,12/13/20,15.1794,39.7823,711,0,564,147,200.48347252037053,0.0
EST,Estonia,Europe,12/13/20,58.5953,25.0136,18055,149,11037,6869,13610.60624678204,0.01123223667001121
SWZ,Eswatini,Africa,12/13/20,-26.5225,31.4659,6768,127,6379,262,5833.658000075851,0.010946728221182523
ETH,Ethiopia,Africa,12/13/20,9.145,40.4897,116769,1806,93890,21073,1015.7042513193068,0.0015709322490409852
FJI,Fiji,Oceania,12/13/20,-17.7134,178.065,46,2,38,6,51.31385786507579,0.0002231037298481556
FIN,Finland,Europe,12/13/20,61.92411,25.748151,31166,520,20000,10646,5624.902765309478,0.00938506525688548
FRA,France,Europe,12/13/20,77.10359499999998,-118.07561399999999,2432601,58014,182685,2191902,35706.30022774316,0.08515433897348114
GAB,Gabon,Africa,12/13/20,-0.8037,11.6094,9330,63,9182,85,4191.88687925928,0.002830534548695977
GMB,Gambia,Africa,12/13/20,13.4432,-15.3101,3782,123,3647,12,1564.9672441017865,0.005089660788591215
GEO,Georgia,Asia,12/13/20,42.3154,43.3569,189726,1790,158183,29753,47560.20981781947,0.044871433316412544
DEU,Germany,Europe,12/13/20,51.165691,10.451526,1320716,21787,990707,308222,7941.287400878967,0.013100229618097311
GHA,Ghana,Africa,12/13/20,7.9465,-1.0232,52933,327,51676,930,1703.507665591401,0.001052362432978271
GRC,Greece,Europe,12/13/20,39.0742,21.8243,124534,3625,93764,27145,11947.935423161882,0.034778667599982195
GRD,Grenada,North America,12/13/20,12.1165,-61.679,69,0,41,28,613.2297656395809,0.0
GTM,Guatemala,North America,12/13/20,15.7835,-90.2308,129282,4423,117923,6936,7216.182440667381,0.02468802689861839
GIN,Guinea,Africa,12/13/20,9.9456,-9.6966,13420,79,12657,684,1021.8695308659422,0.0006015476373950033
GNB,Guinea-Bissau,Africa,12/13/20,11.8037,-15.1804,2444,44,2337,63,1241.871180763395,0.002235774629852266
GUY,Guyana,South America,12/13/20,4.860416,-58.93018,5920,155,5073,692,7526.453832452492,0.019706086892400953
HTI,Haiti,North America,12/13/20,18.9712,-72.2852,9491,233,8241,1017,832.3589153392496,0.0020434056187340127
VAT,Holy See,Europe,12/13/20,41.9029,12.4534,27,0,15,12,33374.53646477132,0.0
HND,Honduras,North America,12/13/20,15.2,-86.2419,114359,2975,51478,59906,11546.039984621299,0.03003652441368704
HUN,Hungary,Europe,12/13/20,47.1625,19.5033,280400,6965,80752,192683,29025.863452152356,0.07209883699865947
ISL,Iceland,Europe,12/13/20,64.9631,-19.0208,5557,28,5366,163,16284.249084249084,0.008205128205128205
IND,India,Asia,12/13/20,20.593684,78.96288,9884100,143355,9388159,352586,3592.466040766456,0.005210367856194042
IDN,Indonesia,Asia,12/13/20,-0.7893,113.9213,617820,18819,505836,93165,2258.744593030962,0.006880210173877451
IRN,Iran,Asia,12/13/20,32.427908,53.688046,1108269,52196,812270,243803,13194.785519685205,0.0621433086178075
IRQ,Iraq,Asia,12/13/20,33.223191,43.679291,574634,12579,507446,54609,14286.380934572868,0.031273538596044106
IRL,Ireland,Europe,12/13/20,53.1424,-7.6921,76185,2124,23364,50697,15428.94846202638,0.04301514278840195
ISR,Israel,Asia,12/13/20,31.046051,34.851612,357176,2999,337186,16991,41265.58929129907,0.03464832527510412
ITA,Italy,Europe,12/13/20,41.87194,12.56738,1843712,64520,1093161,686031,15259.632132118337,0.053400502093834346
JAM,Jamaica,North America,12/13/20,18.1096,-77.2975,11710,273,7954,3483,3954.529996849209,0.0092193568671207
JPN,Japan,Asia,12/13/20,36.204824,138.252924,180505,2602,149130,28773,714.4655103327732,0.0010299101176620457
JOR,Jordan,Asia,12/13/20,31.24,36.51,259614,3365,218467,37782,25444.52002030747,0.03298004339840481
KAZ,Kazakhstan,Asia,12/13/20,48.0196,66.9237,186277,2609,157701,25967,9920.6426345152,0.013894875176994559
KEN,Kenya,Africa,12/13/20,-0.0236,37.9062,91892,1587,73028,17277,1708.9413869480559,0.0029513885660194194
KOR,"Korea, South",Asia,12/13/20,35.907757,127.766922,43484,587,32102,10795,848.150827759436,0.0011449373008343043
XKS,Kosovo,Europe,12/13/20,42.602636,20.902977,46580,1198,33600,11782,25729.603848061663,0.06617446416912381
KWT,Kuwait,Asia,12/13/20,29.31166,47.481766,146218,911,142094,3213,34238.57697451133,0.02133208197607669
KGZ,Kyrgyzstan,Asia,12/13/20,41.20438,74.766098,77356,1312,70450,5594,11856.795731455439,0.02010977299714248
LAO,Laos,Asia,12/13/20,19.85627,102.495496,41,0,33,8,5.635308146896265,0.0
LVA,Latvia,Europe,12/13/20,56.8796,24.6032,25675,349,16778,8548,13612.009742328764,0.01850279026318496
LBN,Lebanon,Asia,12/13/20,33.8547,35.8623,146520,1200,101334,43986,21466.741641054163,0.017581278985302345
LSO,Lesotho,Africa,12/13/20,-29.61,28.2336,2250,44,1319,887,1050.296603760902,0.002053913358465764
LBR,Liberia,Africa,12/13/20,6.428055,-9.429499,1676,83,1358,235,331.3774288077313,0.0016410696056707458
LBY,Libya,Africa,12/13/20,26.3351,17.228331,90779,1299,60895,28585,13211.353273411516,0.018904755397351328
LIE,Liechtenstein,Europe,12/13/20,47.14,9.55,1575,21,1296,258,41298.47654508745,0.05506463539344993
LTU,Lithuania,Europe,12/13/20,55.1694,23.8813,95310,1040,50455,43815,35010.95217226961,0.038203116419221896
LUX,Luxembourg,Europe,12/13/20,49.8153,6.1296,40755,392,31678,8685,65106.32995514206,0.06262220915817858
MDG,Madagascar,Africa,12/13/20,-18.766947,46.869107,17587,259,16992,336,635.1156669243555,0.0009353213039939049
MWI,Malawi,Africa,12/13/20,-13.2543,34.3015,6066,187,5491,388,317.0943162176806,0.0009775245158705288
MYS,Malaysia,Asia,12/13/20,4.210484,101.975766,83475,415,69392,13668,1284.2564938762312,0.0006384743275934543
MDV,Maldives,Asia,12/13/20,3.2028,73.2207,13368,48,12706,614,24730.733227020286,0.008879976024064734
MLI,Mali,Africa,12/13/20,17.570692,-3.996166,5814,194,3591,2029,287.09928687381466,0.0009579852365586523
MLT,Malta,Europe,12/13/20,35.9375,14.3754,11153,169,9169,1815,25259.376861387103,0.03827521464695078
MHL,Marshall Islands,Oceania,12/13/20,7.1315,171.1845,4,0,4,0,68.47790731515245,0.0
MRT,Mauritania,Africa,12/13/20,21.0079,-10.9408,10971,225,8076,2670,2359.5273632910794,0.004839063501417308
MUS,Mauritius,Africa,12/13/20,-20.348404,57.552152,523,10,478,35,411.2388511417579,0.0007863075547643554
MEX,Mexico,North America,12/13/20,23.6345,-102.5528,1250044,113953,918681,217410,4890.921193787863,0.044585242023137454
MDA,Moldova,Europe,12/13/20,47.4116,28.3699,126518,2572,108901,15045,15706.025041649182,0.031928971693452074
MCO,Monaco,Europe,12/13/20,43.7333,7.4167,668,3,597,68,17021.710325145246,0.00764448068494547
MNG,Mongolia,Asia,12/13/20,46.8625,103.8467,906,0,384,522,276.3634233924251,0.0
MNE,Montenegro,Europe,12/13/20,42.708678,19.37439,41426,582,30493,10351,65958.45633074442,0.09266601068047421
MAR,Morocco,Africa,12/13/20,31.7917,-7.0926,399609,6624,356023,36962,10826.414490943214,0.01794608469479112
MOZ,Mozambique,Africa,12/13/20,-18.665695,35.529562,16954,142,14818,1994,542.4336599378636,0.00045432098449437673
NAM,Namibia,Africa,12/13/20,-22.9576,18.4904,16536,160,14684,1692,6507.889280873512,0.00629694173282391
NPL,Nepal,Asia,12/13/20,28.1667,84.25,248423,1698,235731,10994,8526.088375912694,0.005827680231822237
NLD,Netherlands,Europe,12/13/20,107.04419999999999,-264.9603,632024,10134,7872,614018,18118.693403988203,0.02905187761161229
NZL,New Zealand,Oceania,12/13/20,-81.1917,-154.7589,2096,26,2015,55,432.9378093925197,0.0005370411757731637
NIC,Nicaragua,North America,12/13/20,12.865416,-85.207229,4709,162,4225,322,710.8403071361483,0.0024454476482492255
NER,Niger,Africa,12/13/20,17.607789,8.081666,2258,80,1292,886,93.28020630375902,0.00033048788770153773
